MA0004.1	Arnt
MA0069.1	PAX6
MA0071.1	RORA
MA0074.1	RXRA::VDR
MA0101.1	REL
MA0107.1	RELA
MA0115.1	NR1H2::RXRA
MA0116.1	Znf423
MA0119.1	NFIC::TLX1
MA0130.1	ZNF354C
MA0142.1	Pou5f1::Sox2
MA0149.1	EWSR1-FLI1
MA0151.1	Arid3a
MA0155.1	INSM1
MA0159.1	RARA::RXRA
MA0163.1	PLAG1
MA0145.2	Tfcp2l1
MA0468.1	DUX4
MA0515.1	Sox6
MA0258.2	ESR2
MA0595.1	SREBF1
MA0596.1	SREBF2
MA0599.1	KLF5
MA0604.1	Atf1
MA0608.1	Creb3l2
MA0613.1	FOXG1
MA0614.1	Foxj2
MA0636.1	BHLHE41
MA0641.1	ELF4
MA0042.2	FOXI1
MA0033.2	FOXL1
MA0153.2	HNF1B
MA0486.2	HSF1
MA0653.1	IRF9
MA0655.1	JDP2
MA0660.1	MEF2B
MA0663.1	MLX
MA0665.1	MSC
MA0667.1	MYF6
MA0669.1	NEUROG2
MA0676.1	Nr2e1
MA0678.1	OLIG2
MA0068.2	PAX4
MA0512.2	Rxra
MA0083.3	SRF
MA0009.2	TBXT
MA0689.1	TBX20
MA0691.1	TFAP4
MA0696.1	ZIC1
MA0713.1	PHOX2A
MA0715.1	PROP1
MA0724.1	VENTX
MA0728.1	Nr2F6
MA0729.1	RARA
MA0730.1	RARA
MA0731.1	BCL6B
MA0472.2	EGR2
MA0736.1	GLIS2
MA0737.1	GLIS3
MA0741.1	KLF16
MA0088.2	ZNF143
MA0758.1	E2F7
MA0770.1	HSF2
MA0771.1	HSF4
MA0773.1	MEF2D
MA0774.1	MEIS2
MA0776.1	MYBL1
MA0777.1	MYBL2
MA0105.4	NFKB1
MA0780.1	PAX3
MA0783.1	PKNOX2
MA0787.1	POU3F2
MA0788.1	POU3F3
MA0789.1	POU3F4
MA0792.1	POU5F1B
MA0794.1	PROX1
MA0795.1	SMAD3
MA0796.1	TGIF1
MA0797.1	TGIF2
MA0511.2	RUNX2
MA0801.1	MGA
MA0803.1	TBX15
MA0805.1	TBX1
MA0806.1	TBX4
MA0807.1	TBX5
MA0808.1	TEAD3
MA0813.1	TFAP2B
MA0815.1	TFAP2C
MA0816.1	Ascl2
MA0822.1	HES7
MA0823.1	HEY1
MA0826.1	OLIG1
MA0827.1	OLIG3
MA0838.1	CEBPG
MA0845.1	FOXB1
MA0032.2	FOXC1
MA0848.1	FOXO4
MA0849.1	FOXO6
MA0850.1	FOXP3
MA0855.1	RXRB
MA0856.1	RXRG
MA0857.1	Rarb
MA0858.1	Rarb
MA0860.1	Rarg
MA0525.2	TP63
MA0106.3	TP53
MA0862.1	GMEB2
MA0863.1	MTF1
MA0024.3	E2F1
MA0866.1	SOX21
MA0870.1	Sox1
MA0872.1	TFAP2A
MA1124.1	ZNF24
MA1155.1	ZSCAN4
MA1127.1	FOSB::JUN
MA1129.1	FOSL1::JUN
MA1136.1	FOSB::JUNB
MA1420.1	IRF5
MA1421.1	TCF7L1
MA1468.1	ATOH7
MA1485.1	FERD3L
MA1489.1	FOXN3
MA1493.1	HES6
MA1509.1	IRF6
MA1538.1	NR2F1
MA1539.1	NR2F6
MA1555.1	RXRB
MA1556.1	RXRG
MA1557.1	SMAD5
MA1570.1	TFAP4
MA1571.1	TGIF2LX
MA1572.1	TGIF2LY
MA1580.1	ZBTB32
MA1587.1	ZNF135
MA1588.1	ZNF136
MA1594.1	ZNF382
MA1596.1	ZNF460
MA1597.1	ZNF528
MA0158.2	HOXA5
MA0912.2	HOXD3
MA0623.2	NEUROG1
MA1715.1	ZNF707
MA1718.1	ZNF8
MA1684.1	Foxn1
MA1931.1	ELK1::HOXA1
MA1957.1	HOXB2::ELK1
MA1962.1	POU2F1::SOX2
MA1972.1	ZFP14
MA1980.1	ZNF418
MA1985.1	ZNF669
MA0079.5	SP1
MA0509.3	RFX1
MA0516.3	SP2
MA0607.2	BHLHA15
MA0685.2	SP4
MA0740.2	KLF14
MA0742.2	KLF12
MA0798.3	RFX3
MA0818.2	BHLHE22
MA0821.2	HES5
MA0831.3	TFE3
MA0878.3	CDX1
MA0884.2	DUXA
MA1511.2	KLF10
MA1532.2	NR1D2
MA1547.2	PITX2
MA1563.2	SOX18
MA1573.2	Thap11
MA1601.2	ZNF75D
MA1633.2	BACH1
MA0621.2	mix-a
MA0259.2	ARNT::HIF1A
MA2323.1	Pgr
